entity,rel,objt,pageTitle_entity,views_entity
Q113135527,P344,Q6092676,Saltburn (film),334803
Q113135527,P57,Q16207879,Saltburn (film),334803
Q113135527,P58,Q16207879,Saltburn (film),334803
Q113135527,P162,Q16207879,Saltburn (film),334803
Q113135527,P162,Q29222955,Saltburn (film),334803
Q113135527,P162,Q1924847,Saltburn (film),334803
Q113135527,P161,Q28542230,Saltburn (film),334803
Q113135527,P161,Q53909401,Saltburn (film),334803
Q113135527,P161,Q230004,Saltburn (film),334803
Q113135527,P161,Q380856,Saltburn (film),334803
Q113135527,P161,Q219655,Saltburn (film),334803
Q113135527,P161,Q75732852,Saltburn (film),334803
Q113135527,P161,Q111976143,Saltburn (film),334803
Q113135527,P161,Q61740675,Saltburn (film),334803
Q113135527,P161,Q979114,Saltburn (film),334803
Q113135527,P161,Q27505523,Saltburn (film),334803
Q113135527,P161,Q7306585,Saltburn (film),334803
Q113135527,P750,Q4740868,Saltburn (film),334803
Q113135527,P750,Q179200,Saltburn (film),334803
Q113135527,P495,Q145,Saltburn (film),334803
Q113135527,P7573,Q74434540,Saltburn (film),334803
Q113135527,P1657,Q18665344,Saltburn (film),334803
Q113135527,P2061,Q20970432,Saltburn (film),334803
Q113135527,P462,Q22006653,Saltburn (film),334803
Q113135527,P86,Q76163023,Saltburn (film),334803
Q113135527,P2554,Q22115391,Saltburn (film),334803
Q113135527,P1040,Q95747083,Saltburn (film),334803
Q193697,P358,Q1083337,Sugababes,133045
Q193697,P910,Q8824122,Sugababes,133045
Q193697,P31,Q215380,Sugababes,133045
Q193697,P136,Q37073,Sugababes,133045
Q193697,P136,Q850412,Sugababes,133045
Q193697,P136,Q188450,Sugababes,133045
Q193697,P136,Q316930,Sugababes,133045
Q193697,P264,Q935090,Sugababes,133045
Q193697,P264,Q190585,Sugababes,133045
Q193697,P264,Q202585,Sugababes,133045
Q193697,P264,Q231694,Sugababes,133045
Q193697,P1411,Q3841596,Sugababes,133045
Q193697,P740,Q84,Sugababes,133045
Q193697,P737,Q588820,Sugababes,133045
Q193697,P1424,Q22883719,Sugababes,133045
Q193697,P495,Q145,Sugababes,133045
Q193697,P527,Q236240,Sugababes,133045
Q193697,P527,Q233268,Sugababes,133045
Q193697,P527,Q235772,Sugababes,133045
Q193697,P527,Q233475,Sugababes,133045
Q193697,P527,Q242104,Sugababes,133045
Q193697,P527,Q237552,Sugababes,133045
Q193697,P6365,Q8824126,Sugababes,133045
Q5269211,P31,Q14204246,Wikipedia:Featured pictures,248263
Q5269211,P910,Q9719326,Wikipedia:Featured pictures,248263
Q49619,P31,Q3186692,2024,107822
Q49619,P31,Q217024,2024,107822
Q49619,P31,Q56389217,2024,107822
Q49619,P361,Q534495,2024,107822
Q49619,P361,Q12138,2024,107822
Q49619,P155,Q49622,2024,107822
Q49619,P156,Q49616,2024,107822
Q49619,P910,Q7137306,2024,107822
Q49619,P527,Q61312882,2024,107822
Q49619,P527,Q61312938,2024,107822
Q49619,P527,Q61312976,2024,107822
Q49619,P527,Q61313056,2024,107822
Q49619,P527,Q61312957,2024,107822
Q49619,P527,Q61312789,2024,107822
Q49619,P527,Q61312808,2024,107822
Q49619,P527,Q61313036,2024,107822
Q49619,P527,Q61312994,2024,107822
Q49619,P527,Q61313017,2024,107822
Q49619,P527,Q61312920,2024,107822
Q49619,P527,Q61312902,2024,107822
Q49619,P460,Q110663453,2024,107822
Q49619,P460,Q116219053,2024,107822
Q49619,P12686,Q9725273,2024,107822
Q49619,P12687,Q9725228,2024,107822
Q114929139,P31,Q13406463,Deaths in 2023,103123
Q114929139,P155,Q107528356,Deaths in 2023,103123
Q114929139,P1754,Q115949248,Deaths in 2023,103123
Q114929139,P527,Q115858364,Deaths in 2023,103123
Q114929139,P527,Q116273893,Deaths in 2023,103123
Q114929139,P527,Q116879575,Deaths in 2023,103123
Q114929139,P527,Q116948156,Deaths in 2023,103123
Q114929139,P527,Q117310113,Deaths in 2023,103123
Q114929139,P527,Q117310128,Deaths in 2023,103123
Q114929139,P527,Q117310147,Deaths in 2023,103123
Q114929139,P527,Q117310159,Deaths in 2023,103123
Q114929139,P527,Q117310173,Deaths in 2023,103123
Q114929139,P527,Q117310185,Deaths in 2023,103123
Q114929139,P527,Q117310201,Deaths in 2023,103123
Q114929139,P527,Q117310210,Deaths in 2023,103123
Q114929139,P360,Q5,Deaths in 2023,103123
Q114929139,P910,Q9724938,Deaths in 2023,103123
Q114929139,P156,Q123489953,Deaths in 2023,103123
Q114929139,P361,Q49622,Deaths in 2023,103123
Q355,P31,Q3220391,Facebook,89983
Q355,P31,Q35127,Facebook,89983
Q355,P31,Q620615,Facebook,89983
Q355,P31,Q202833,Facebook,89983
Q355,P31,Q122759350,Facebook,89983
Q355,P31,Q6576792,Facebook,89983
Q355,P31,Q118140435,Facebook,89983
Q355,P127,Q380,Facebook,89983
Q355,P138,Q3540279,Facebook,89983
Q355,P910,Q7214527,Facebook,89983
Q355,P1343,Q17290934,Facebook,89983
Q355,P1343,Q17290934,Facebook,89983
Q355,P277,Q59,Facebook,89983
Q355,P137,Q380,Facebook,89983
Q355,P112,Q36215,Facebook,89983
Q355,P112,Q312663,Facebook,89983
Q355,P112,Q370217,Facebook,89983
Q355,P112,Q370321,Facebook,89983
Q355,P166,Q2517928,Facebook,89983
Q355,P4290,Q41689616,Facebook,89983
Q355,P407,Q1860,Facebook,89983
Q355,P407,Q18130932,Facebook,89983
Q355,P407,Q13414913,Facebook,89983
Q355,P407,Q5287,Facebook,89983
Q355,P1889,Q380,Facebook,89983
Q355,P170,Q36215,Facebook,89983
Q355,P1424,Q5624646,Facebook,89983
Q355,P50,Q36215,Facebook,89983
Q355,P50,Q312663,Facebook,89983
Q355,P50,Q370217,Facebook,89983
Q355,P50,Q370321,Facebook,89983
Q355,P2184,Q3679366,Facebook,89983
Q355,P793,Q108801995,Facebook,89983
Q355,P793,Q66439731,Facebook,89983
