head,rel,tail
Q52440,P136,Q11401
Q52440,P172,Q49085
Q52440,P264,Q654283
Q52440,P1303,Q17172850
Q52440,P1343,Q67311526
Q52440,P166,Q1738793
Q52440,P166,Q17985761
Q52440,P166,Q179191
Q52440,P1412,Q1860
Q52440,P103,Q1860
Q52440,P6886,Q1860
Q106378786,P106,Q639669
Q106378786,P106,Q177220
Q106378786,P27,Q30
Q106378786,P1303,Q6607
Q106378786,P136,Q83440
Q111670916,P136,Q52207399
Q111670916,P750,Q907311
Q111670916,P495,Q30
Q111670916,P364,Q1860
Q111670916,P462,Q22006653
Q111670916,P6216,Q50423863
Q152505,P106,Q486748
Q152505,P106,Q36834
Q152505,P106,Q1415090
Q152505,P20,Q60
Q152505,P27,Q30
Q152505,P69,Q13371
Q152505,P166,Q935843
Q152505,P166,Q1738793
Q152505,P166,Q14539974
Q152505,P166,Q41254
Q152505,P166,Q52382875
Q152505,P166,Q17985761
Q152505,P509,Q12192
Q152505,P1303,Q5994
Q152505,P463,Q463303
Q152505,P1343,Q17378135
Q152505,P1343,Q67311526
Q152505,P1343,Q99413897
Q152505,P1196,Q3739104
Q152505,P264,Q183387
Q152505,P1412,Q1860
Q152505,P6275,Q373087
Q152505,P7763,Q73555012
Q3372991,P495,Q30
Q110970104,P106,Q18574233
Q110970104,P27,Q145
Q110970104,P1412,Q1860
Q110970104,P641,Q131471
Q158462,P495,Q30
Q158462,P740,Q16568
Q158462,P136,Q852767
Q158462,P136,Q83270
Q158462,P136,Q193355
Q158462,P264,Q202440
Q158462,P166,Q179191
Q102139,P40,Q1004037
Q102139,P69,Q35794
Q102139,P166,Q10855226
Q102139,P166,Q950604
Q102139,P166,Q2171187
Q102139,P166,Q976544
Q102139,P166,Q5357263
Q102139,P166,Q20872
Q102139,P166,Q1331130
Q102139,P166,Q13377517
Q102139,P166,Q14539974
Q102139,P140,Q855585
Q102139,P27,Q756617
Q102139,P1343,Q17378135
Q102139,P1412,Q9035
Q102139,P1412,Q1860
Q102139,P1412,Q150
Q102139,P1412,Q9027
Q102139,P1412,Q188
Q102139,P106,Q116
Q102139,P106,Q1028181
Q102139,P106,Q28389
Q102139,P7763,Q73555012
Q102139,P1050,Q84263196
Q102139,P945,Q35
Q30325337,P17,Q30
Q34812,P837,Q2150
Q34812,P1343,Q2041543
Q34812,P1343,Q602358
Q34812,P1343,Q19180675
Q34812,P1343,Q19219752
Q34812,P1343,Q4173137
Q34812,P30,Q46
Q34812,P30,Q48
Q34812,P30,Q15
Q196627,P837,Q2150
Q196627,P138,Q34812
Q196627,P547,Q34812
Q196627,P1343,Q867541
Q196627,P1343,Q19047539
Q196627,P1343,Q1029706
Q196627,P1343,Q16082057
Q11269,P138,Q34812
Q11269,P156,Q196627
Q469825,P27,Q30
Q469825,P106,Q177220
Q469825,P106,Q639669
Q469825,P136,Q131272
Q469825,P19,Q65
Q469825,P1303,Q17172850
Q469825,P1343,Q67311526
Q216563,P106,Q33999
Q216563,P106,Q10800557
Q216563,P106,Q488205
Q216563,P106,Q177220
Q216563,P106,Q36834
Q216563,P106,Q639669
Q216563,P27,Q30
Q216563,P27,Q16
Q216563,P166,Q857933
Q216563,P166,Q13452528
Q216563,P166,Q61669648
Q216563,P166,Q17985761
Q216563,P166,Q121359767
Q216563,P1303,Q5994
Q216563,P1303,Q6607
Q216563,P1303,Q17172850
Q216563,P264,Q183387
Q216563,P264,Q202585
Q216563,P136,Q37073
Q216563,P136,Q8341
Q216563,P136,Q217191
Q216563,P1343,Q67311526
Q216563,P1412,Q1860
Q216563,P103,Q1860
Q216563,P6275,Q891885
Q216563,P7763,Q73555012
Q216563,P6886,Q1860
Q216563,P101,Q37073
Q216563,P101,Q373342
Q123870,P106,Q33999
Q123870,P106,Q10800557
Q123870,P106,Q177220
Q123870,P106,Q947873
Q123870,P106,Q2722764
