head,rel,tail
Q233475,P1303,Q17172850
Q233475,P551,Q24826
Q233475,P101,Q11895763
Q233475,P1343,Q67311526
Q233475,P1412,Q1860
Q114049519,P106,Q19204627
Q114049519,P641,Q41323
Q2150,P361,Q108
Q2150,P279,Q34812
Q315271,P106,Q33999
Q315271,P106,Q3282637
Q315271,P106,Q2526255
Q315271,P106,Q28389
Q315271,P106,Q10800557
Q315271,P106,Q10798782
Q315271,P106,Q2405480
Q315271,P106,Q4610556
Q315271,P106,Q3455803
Q315271,P27,Q30
Q315271,P1412,Q1860
Q315271,P103,Q1860
Q315271,P6886,Q1860
Q315271,P101,Q115160932
Q315271,P101,Q932586
Q189490,P1340,Q17122834
Q189490,P166,Q734036
Q189490,P166,Q501058
Q189490,P166,Q1011564
Q189490,P166,Q257235
Q189490,P166,Q1011547
Q189490,P166,Q105447
Q189490,P166,Q268200
Q189490,P166,Q311836
Q189490,P166,Q922396
Q189490,P166,Q518675
Q189490,P166,Q787123
Q189490,P166,Q103618
Q189490,P166,Q1129487
Q189490,P166,Q822907
Q189490,P106,Q33999
Q189490,P106,Q10798782
Q189490,P106,Q10800557
Q189490,P1411,Q103618
Q189490,P1411,Q106301
Q189490,P1411,Q602866
Q189490,P551,Q65
Q189490,P551,Q127856
Q189490,P551,Q60
Q189490,P27,Q30
Q189490,P1343,Q67311526
Q189490,P552,Q789447
Q189490,P6886,Q1860
Q189490,P103,Q1860
Q189490,P1412,Q1860
Q4353509,P27,Q30
Q4353509,P106,Q947873
Q4353509,P106,Q42331263
Q4353509,P106,Q19204627
Q4353509,P1532,Q30
Q4353509,P641,Q41323
Q4353509,P1412,Q1860
Q4353509,P103,Q1860
Q4353509,P6886,Q1860
Q185140,P27,Q30
Q185140,P106,Q33999
Q185140,P106,Q10798782
Q185140,P106,Q10800557
Q185140,P106,Q3282637
Q185140,P106,Q28389
Q185140,P106,Q2405480
Q185140,P106,Q177220
Q185140,P106,Q2252262
Q185140,P106,Q3578589
Q185140,P106,Q578109
Q185140,P106,Q2526255
Q185140,P106,Q3455803
Q185140,P1411,Q106291
Q185140,P1411,Q103916
Q185140,P166,Q181883
Q185140,P166,Q2089923
Q185140,P166,Q103916
Q185140,P166,Q400007
Q185140,P166,Q654620
Q185140,P166,Q593098
Q185140,P1412,Q1860
Q185140,P1412,Q1321
Q185140,P1343,Q67311526
Q185140,P140,Q7066
Q185140,P552,Q789447
Q185140,P66,Q183
Q185140,P103,Q1860
Q185140,P6886,Q1860
Q11637,P106,Q10798782
Q11637,P106,Q10800557
Q11637,P106,Q177220
Q11637,P106,Q33999
Q11637,P106,Q2405480
Q11637,P106,Q2722764
Q11637,P106,Q639669
Q11637,P106,Q2259451
Q11637,P140,Q6423963
Q11637,P27,Q30
Q11637,P166,Q935843
Q11637,P166,Q1011564
Q11637,P166,Q904528
Q11637,P166,Q935283
Q11637,P166,Q640353
Q11637,P166,Q81180
Q11637,P166,Q1011547
Q11637,P166,Q41254
Q11637,P166,Q17985761
Q11637,P166,Q727328
Q11637,P412,Q37137
Q11637,P1411,Q106301
Q11637,P1411,Q103618
Q11637,P1411,Q1011564
Q11637,P1411,Q935283
Q11637,P1411,Q904528
Q11637,P1411,Q822907
Q11637,P1411,Q640353
Q11637,P1412,Q1860
Q11637,P1853,Q19831453
Q11637,P69,Q13371
Q11637,P1196,Q21142718
Q11637,P264,Q193023
Q11637,P264,Q557632
Q11637,P101,Q33999
Q11637,P1303,Q17172850
Q11637,P1343,Q67311526
Q11637,P2348,Q6927
Q11637,P102,Q29552
Q11637,P136,Q37073
Q11637,P136,Q8341
Q11637,P552,Q789447
Q11637,P103,Q7976
Q11637,P6886,Q7976
Q11637,P937,Q30
Q909800,P641,Q41323
Q123267372,P495,Q668
Q123267372,P364,Q8097
Q1919399,P27,Q408
Q1919399,P1412,Q1860
Q1919399,P1196,Q21142718
Q1919399,P1532,Q408
Q113114887,P495,Q30
Q113114887,P750,Q62446736
Q113114887,P364,Q1860
Q113114887,P462,Q22006653
Q113114887,P136,Q343782
Q6935432,P17,Q30
Q6935432,P837,Q196627
Q17466583,P27,Q17
Q17466583,P27,Q30
Q17466583,P1412,Q150
Q17466583,P1532,Q17
Q17466583,P552,Q3039938
Q17466583,P741,Q3039938
Q17466583,P166,Q604370
Q21622138,P106,Q19204627
Q21622138,P413,Q622747
Q21622138,P27,Q30
Q21622138,P641,Q41323
Q19667998,P106,Q19204627
Q19667998,P641,Q41323
Q19667998,P413,Q622747
Q19667998,P1532,Q30
Q19667998,P172,Q49085
Q19667998,P27,Q30
Q1369910,P106,Q177220
Q1369910,P106,Q33999
Q1369910,P106,Q2252262
Q1369910,P27,Q756617
Q1369910,P264,Q38903
Q1369910,P136,Q37073
Q1369910,P1303,Q17172850
Q181806,P106,Q10800557
Q181806,P106,Q10798782
Q181806,P106,Q2259451
Q181806,P106,Q33999
Q181806,P27,Q145
Q181806,P1343,Q67311526
Q181806,P1412,Q1860
Q509227,P27,Q408
Q509227,P1412,Q1860
Q509227,P1532,Q408
Q242034,P27,Q30
Q242034,P106,Q28389
Q242034,P106,Q131524
Q242034,P551,Q99
Q242034,P1412,Q1321
Q242034,P1412,Q1860
Q193815,P106,Q10798782
Q193815,P106,Q10800557
Q193815,P106,Q33999
Q193815,P106,Q3427922
Q193815,P106,Q3282637
Q193815,P106,Q2526255
Q193815,P106,Q28389
Q193815,P106,Q177220
Q193815,P106,Q36834
Q193815,P27,Q16
Q193815,P1411,Q103916
Q193815,P136,Q186472
Q193815,P1412,Q1860
Q193815,P166,Q1011547
Q193815,P1343,Q67311526
Q313381,P413,Q622747
Q313381,P106,Q33999
Q313381,P106,Q4610556
Q313381,P106,Q19204627
Q313381,P27,Q30
Q313381,P641,Q41323
Q313381,P166,Q604370
Q967817,P106,Q33999
Q967817,P106,Q488205
Q967817,P106,Q177220
Q967817,P106,Q10798782
Q967817,P106,Q10800557
Q967817,P106,Q2405480
Q967817,P27,Q30
Q967817,P102,Q29468
Q967817,P1303,Q6607
Q967817,P1303,Q17172850
Q967817,P136,Q83440
Q967817,P264,Q193023
Q967817,P1343,Q67311526
Q967817,P1412,Q1860
Q967817,P103,Q1860
Q967817,P6886,Q1860
Q918,P1343,Q17290934
Q918,P17,Q30
Q918,P159,Q62
Q918,P407,Q20923490
Q918,P6364,Q838368
Q918,P6364,Q23444
Q918,P750,Q135288
Q918,P437,Q54820071
Q20684321,P19,Q649
Q20684321,P106,Q4610556
Q20684321,P103,Q7737
Q20684321,P27,Q159
Q20684321,P1412,Q7737
Q65980671,P495,Q30
Q65980671,P3301,Q54958752
Q65980671,P364,Q1860
Q65980671,P449,Q54958752
Q65980671,P750,Q54958752
Q65980671,P407,Q1860
Q65980671,P725,Q172678
Q65980671,P437,Q723685
Q65980671,P1434,Q642878
Q65980671,P361,Q642878
Q110367996,P407,Q1860
Q110367996,P495,Q30
Q110367996,P275,Q3238057
Q47452423,P136,Q1366112
Q47452423,P495,Q30
Q47452423,P364,Q1860
Q18107167,P641,Q2736
Q18107167,P17,Q1008
Q111812475,P276,Q84
Q111812475,P17,Q145
Q111812475,P641,Q131471
Q352,P1576,Q83364
Q352,P20,Q64
Q352,P106,Q1028181
Q352,P106,Q82955
Q352,P106,Q36180
Q352,P166,Q207826
Q352,P607,Q361
Q352,P607,Q362
Q352,P1343,Q17378135
Q352,P1343,Q67311526
Q352,P1343,Q20078554
Q352,P1343,Q99413897
Q352,P1196,Q10737
Q352,P937,Q64
Q352,P103,Q188
Q352,P1412,Q188
Q352,P1411,Q35637
Q352,P509,Q2140674
Q352,P1340,Q17122834
Q352,P1542,Q362
Q352,P6886,Q188
Q352,P6275,Q71521142
Q352,P7763,Q71887839
Q352,P793,Q362
Q352,P27,Q40
Q352,P101,Q7163
Q937,P1412,Q1860
Q937,P1412,Q188
Q937,P103,Q188
Q937,P166,Q121359767
Q937,P106,Q1622272
Q937,P106,Q36180
Q937,P463,Q123885
Q937,P463,Q463303
Q937,P1343,Q17329836
Q937,P1343,Q17378135
Q937,P1343,Q67311526
Q937,P1343,Q15987490
Q937,P1343,Q99413897
Q937,P1343,Q19047539
Q937,P937,Q64
Q937,P140,Q7066
Q937,P140,Q9268
Q937,P6886,Q1860
Q937,P6886,Q188
Q937,P1196,Q3739104
Q937,P27,Q39
Q937,P27,Q183
Q937,P27,Q30
Q937,P7763,Q73555012
Q937,P1050,Q132971
Q463185,P106,Q855091
Q463185,P106,Q36834
Q463185,P106,Q753110
Q463185,P19,Q16568
Q463185,P20,Q16568
Q463185,P27,Q30
Q463185,P509,Q12192
Q463185,P1303,Q6607
Q463185,P1196,Q3739104
Q463185,P136,Q852767
Q258053,P19,Q16552
Q258053,P27,Q30
Q258053,P106,Q177220
Q258053,P106,Q753110
Q258053,P136,Q11399
Q258053,P136,Q83270
Q258053,P136,Q186472
Q258053,P1303,Q17172850
Q258053,P412,Q30903
Q258053,P1412,Q1860
Q258053,P103,Q1860
Q258053,P264,Q216364
Q258053,P264,Q193023
Q258053,P1343,Q67311526
Q258053,P166,Q17985761
Q61740675,P106,Q33999
Q61740675,P106,Q10800557
Q61740675,P106,Q10798782
Q61740675,P106,Q2259451
Q469954,P106,Q33999
Q469954,P106,Q10798782
Q469954,P106,Q10800557
Q469954,P106,Q177220
Q469954,P106,Q4610556
Q469954,P27,Q30
Q469954,P264,Q387539
Q469954,P1303,Q17172850
Q469954,P1303,Q6607
Q469954,P1412,Q1860
Q469954,P103,Q1860
Q469954,P6886,Q1860
Q469954,P136,Q37073
Q469954,P101,Q222749
Q469954,P101,Q27939
Q469954,P101,Q17143560
Q469954,P166,Q593098
Q469954,P166,Q604370
Q469954,P1411,Q103916
Q469954,P10606,Q303
Q1124,P463,Q463303
Q1124,P39,Q11696
Q1124,P39,Q1467287
Q1124,P27,Q30
Q1124,P106,Q82955
Q1124,P106,Q40348
Q1124,P106,Q193391
Q1124,P106,Q18814623
Q1124,P106,Q36180
Q1124,P106,Q372436
Q1124,P102,Q29552
Q1124,P108,Q1065
Q1124,P1343,Q17311605
Q1124,P1343,Q17290934
Q1124,P1343,Q67311526
Q1124,P166,Q17144
Q1124,P166,Q41254
Q1124,P166,Q52382875
Q1124,P166,Q93923
Q1124,P1576,Q83364
Q1124,P1412,Q1860
Q1124,P103,Q1860
Q1124,P552,Q789447
Q1124,P937,Q61
Q1124,P6886,Q1860
Q1124,P101,Q7163
Q1124,P9493,Q98665879
Q2680,P106,Q10798782
Q2680,P106,Q10800557
Q2680,P106,Q177220
Q2680,P106,Q33999
Q2680,P106,Q2405480
Q2680,P106,Q1053574
Q2680,P106,Q3282637
Q2680,P106,Q28389
Q2680,P27,Q30
Q2680,P27,Q183
Q2680,P166,Q13452531
Q2680,P166,Q1421666
Q2680,P166,Q17985761
Q2680,P166,Q13452524
Q2680,P552,Q789447
Q2680,P551,Q65
Q2680,P551,Q183
Q2680,P1412,Q1860
Q2680,P1303,Q17172850
Q2680,P1303,Q51290
Q2680,P1343,Q67311526
Q2680,P1411,Q602299
Q2680,P1411,Q1421666
Q2680,P1411,Q723830
Q2680,P1411,Q4220900
Q2680,P1411,Q1258647
Q2680,P1411,Q1259362
Q2680,P1411,Q922396
Q2680,P103,Q1860
Q2680,P6886,Q1860
Q2680,P1050,Q186676
Q12003,P106,Q33999
Q12003,P106,Q177220
Q12003,P106,Q488205
Q12003,P106,Q36834
Q12003,P106,Q2526255
Q12003,P106,Q948329
Q12003,P106,Q183945
Q12003,P106,Q10798782
Q12003,P106,Q4610556
Q12003,P106,Q10800557
Q12003,P106,Q13235160
Q12003,P106,Q55960555
Q12003,P27,Q30
Q12003,P166,Q1044427
Q12003,P166,Q103618
Q12003,P166,Q41254
Q12003,P166,Q1738793
Q12003,P166,Q10294045
Q12003,P166,Q822907
Q12003,P136,Q484641
Q12003,P136,Q11399
Q12003,P136,Q316930
Q12003,P136,Q186472
Q12003,P412,Q37137
Q12003,P1411,Q106301
Q12003,P1411,Q103618
Q12003,P1411,Q628637
Q12003,P1412,Q1860
Q12003,P1412,Q7976
Q12003,P264,Q843402
Q12003,P264,Q202440
Q12003,P264,Q183387
Q12003,P264,Q212699
Q12003,P264,Q645889
Q12003,P1303,Q17172850
Q12003,P1343,Q67311526
Q12003,P937,Q30
Q12003,P102,Q29552
Q12003,P103,Q7976
Q12003,P6886,Q1860
Q12003,P1050,Q132971
Q12003,P6275,Q373087
Q24450812,P106,Q18574233
Q24450812,P27,Q145
Q24450812,P641,Q131471
Q24450812,P1412,Q1860
Q60813,P27,Q183
Q60813,P19,Q64
Q60813,P1412,Q188
Q202589,P106,Q33999
Q202589,P106,Q28389
Q202589,P106,Q36834
Q202589,P106,Q2405480
Q202589,P106,Q639669
Q202589,P106,Q2259451
Q202589,P106,Q10800557
Q202589,P106,Q10798782
Q202589,P106,Q578109
Q202589,P27,Q27
Q202589,P166,Q593098
Q202589,P166,Q103916
Q202589,P166,Q400007
Q202589,P166,Q268200
Q202589,P1411,Q181883
Q202589,P1411,Q1062026
Q202589,P1411,Q932281
Q202589,P1412,Q1860
Q202589,P1343,Q67311526
Q202589,P103,Q1860
Q202589,P101,Q932586
Q202589,P101,Q638
Q123973477,P364,Q36236
Q123973477,P495,Q668
Q1530593,P106,Q33999
Q1530593,P106,Q4610556
Q1530593,P106,Q18581305
Q1530593,P106,Q177220
Q1530593,P106,Q36180
Q1530593,P27,Q30
Q1530593,P1340,Q17122834
Q1530593,P1412,Q1321
Q61964196,P106,Q19204627
Q61964196,P413,Q622747
Q61964196,P54,Q191477
Q61964196,P27,Q30
Q61964196,P641,Q41323
Q280856,P22,Q269412
Q280856,P25,Q76927
Q280856,P26,Q10633
Q280856,P40,Q9682
Q280856,P166,Q10855226
Q280856,P166,Q12192290
Q280856,P166,Q5361043
Q280856,P166,Q2171187
Q280856,P166,Q4710826
Q280856,P166,Q5357263
Q280856,P166,Q215248
Q280856,P166,Q20872
Q280856,P166,Q721030
Q280856,P166,Q16947520
Q280856,P166,Q1331130
Q280856,P509,Q47912
Q280856,P27,Q145
Q280856,P27,Q174193
Q280856,P53,Q81589
Q280856,P39,Q14931512
Q280856,P39,Q14931517
Q280856,P39,Q5352166
Q280856,P39,Q9134365
Q280856,P39,Q14931511
Q280856,P607,Q361
Q280856,P410,Q5036649
Q280856,P140,Q82708
Q280856,P140,Q5043
Q280856,P1412,Q1860
Q280856,P463,Q123885
Q280856,P1196,Q3739104
Q280856,P106,Q116
Q280856,P106,Q2478141
Q280856,P106,Q189290
Q280856,P3373,Q590227
Q280856,P97,Q9134365
Q280856,P97,Q5352166
Q280856,P97,Q4971429
Q280856,P97,Q14931511
Q280856,P97,Q14931512
Q280856,P97,Q14931517
Q280856,P6886,Q7979
Q280856,P1343,Q67311526
Q280856,P1343,Q99413897
Q280856,P793,Q362
Q280856,P85,Q40807
Q280856,P103,Q7979
Q280856,P937,Q42182
Q280856,P945,Q145
Q280856,P945,Q174193
Q280856,P551,Q42182
Q280856,P1340,Q17122834
Q280856,P3716,Q11573099
Q280856,P172,Q842438
Q280856,P552,Q789447
Q280856,P1050,Q186676
Q135622,P127,Q95
Q135622,P178,Q95
Q135622,P50,Q95
Q135622,P112,Q95
Q135622,P170,Q95
Q135622,P407,Q20923490
Q112909147,P495,Q30
Q112909147,P495,Q17
Q112909147,P495,Q145
Q112909147,P750,Q186941
Q112909147,P750,Q1097348
Q112909147,P136,Q130232
Q112909147,P136,Q188473
Q112909147,P136,Q645928
Q112909147,P462,Q22006653
Q112909147,P915,Q28
Q112909147,P364,Q1860
Q112909147,P5021,Q4165246
Q110614173,P495,Q884
Q110614173,P364,Q9176
Q110614173,P136,Q2484376
Q110614173,P136,Q200092
Q110614173,P136,Q188473
Q110614173,P750,Q907311
Q110614173,P840,Q8684
Q1623403,P17,Q145
Q1623403,P2341,Q22
Q1623403,P1343,Q867541
Q352233,P106,Q33999
Q352233,P106,Q10798782
Q352233,P106,Q2405480
Q352233,P106,Q10800557
Q352233,P106,Q3282637
Q352233,P27,Q30
Q352233,P1412,Q1860
Q352233,P103,Q1860
Q352233,P6886,Q1860
Q352233,P140,Q9268
Q795406,P106,Q19204627
Q795406,P27,Q30
Q795406,P641,Q41323
Q795406,P413,Q622747
Q471546,P106,Q36180
Q471546,P106,Q3455803
Q471546,P106,Q1930187
Q471546,P106,Q2526255
Q471546,P106,Q28389
Q471546,P27,Q408
Q471546,P1412,Q1860
Q471546,P1343,Q67311526
Q471546,P20,Q84
Q80938,P106,Q33999
Q80938,P106,Q177220
Q80938,P106,Q3282637
Q80938,P106,Q36180
Q80938,P106,Q5716684
Q80938,P106,Q639669
Q80938,P106,Q10798782
Q80938,P106,Q10800557
Q80938,P106,Q2259451
Q80938,P106,Q2405480
Q80938,P27,Q30
Q80938,P166,Q908858
Q80938,P166,Q17985761
Q80938,P166,Q181883
Q80938,P1411,Q103916
Q80938,P1411,Q602299
Q80938,P1411,Q641316
Q80938,P1412,Q1860
Q80938,P1303,Q17172850
Q80938,P1343,Q67311526
Q80938,P1340,Q17122834
Q80938,P140,Q9592
Q80938,P103,Q1860
Q80938,P6886,Q1860
Q43416,P106,Q10798782
Q43416,P106,Q10800557
Q43416,P106,Q33999
Q43416,P106,Q3282637
Q43416,P106,Q2526255
Q43416,P106,Q177220
Q43416,P106,Q2405480
Q43416,P106,Q639669
Q43416,P106,Q36180
Q43416,P27,Q16
Q43416,P1303,Q6607
Q43416,P1303,Q17172850
Q43416,P1412,Q1860
Q43416,P552,Q789447
Q43416,P166,Q4220900
Q43416,P166,Q4220901
Q43416,P166,Q17985761
Q43416,P166,Q604370
Q43416,P551,Q65
Q43416,P1343,Q67311526
Q43416,P103,Q1860
Q43416,P101,Q115160932
Q43416,P101,Q932586
Q43416,P937,Q65
Q43416,P1050,Q132971
Q38111,P27,Q30
Q38111,P19,Q65
Q38111,P106,Q33999
Q38111,P106,Q10800557
Q38111,P106,Q28389
Q38111,P106,Q10798782
Q38111,P106,Q3282637
Q38111,P106,Q2259451
Q38111,P106,Q3578589
Q38111,P102,Q29552
Q38111,P166,Q593098
Q38111,P166,Q181883
Q38111,P166,Q103916
Q38111,P166,Q400007
Q38111,P166,Q268200
Q38111,P166,Q1011547
Q38111,P166,Q4220901
Q38111,P166,Q13452528
Q38111,P1411,Q723830
Q38111,P1411,Q922396
Q38111,P1411,Q181883
Q38111,P1411,Q593098
Q38111,P1411,Q654620
Q38111,P1411,Q106291
Q38111,P1411,Q103916
Q38111,P1411,Q102427
Q38111,P1411,Q4220900
Q38111,P1411,Q400007
Q38111,P1411,Q4220901
Q38111,P1411,Q257235
Q38111,P1411,Q518675
Q38111,P1411,Q1062026
Q38111,P1411,Q1260789
Q38111,P1411,Q1627408
Q38111,P1411,Q1535145
Q38111,P1411,Q602299
Q38111,P551,Q65
Q38111,P103,Q1860
Q38111,P1412,Q1860
Q38111,P1412,Q652
Q38111,P1412,Q188
Q38111,P1340,Q17122834
Q38111,P1343,Q67311526
Q38111,P6886,Q1860
Q38111,P463,Q16781948
Q1614313,P106,Q578109
Q1614313,P106,Q3282637
Q1614313,P106,Q2259451
Q1614313,P106,Q10798782
Q1614313,P106,Q33999
Q1614313,P106,Q13235160
Q1614313,P106,Q10800557
Q1614313,P69,Q1542213
Q1614313,P69,Q5629067
Q1614313,P27,Q30
Q1614313,P551,Q127856
Q1614313,P166,Q17144
Q1614313,P166,Q989447
Q1614313,P166,Q17985761
Q1614313,P1412,Q1860
Q1614313,P103,Q1860
Q1614313,P6886,Q1860
Q6783838,P27,Q843
Q6783838,P140,Q432
Q6783838,P551,Q843
Q2831,P106,Q5716684
Q2831,P106,Q488205
Q2831,P106,Q43845
Q2831,P106,Q12362622
Q2831,P106,Q2526255
Q2831,P106,Q28389
Q2831,P106,Q18814623
Q2831,P106,Q183945
Q2831,P106,Q10800557
Q2831,P106,Q33999
Q2831,P106,Q131524
Q2831,P106,Q639669
Q2831,P106,Q55960555
Q2831,P106,Q177220
Q2831,P106,Q2405480
Q2831,P106,Q10732476
Q2831,P106,Q753110
Q2831,P106,Q4610556
Q2831,P106,Q49757
Q2831,P27,Q30
Q2831,P1343,Q17290934
Q2831,P1343,Q67311526
Q2831,P166,Q935843
Q2831,P166,Q1542347
Q2831,P166,Q904528
Q2831,P166,Q843219
Q2831,P166,Q1027904
Q2831,P166,Q2976730
Q2831,P166,Q61669648
Q2831,P166,Q17985761
Q2831,P166,Q179191
Q2831,P136,Q37073
Q2831,P136,Q131272
Q2831,P136,Q316930
Q2831,P136,Q11399
Q2831,P136,Q9759
Q2831,P136,Q45981
Q2831,P136,Q164444
Q2831,P136,Q11401
Q2831,P136,Q83270
Q2831,P136,Q211756
Q2831,P172,Q49085
Q2831,P103,Q7976
Q2831,P103,Q1860
Q2831,P1412,Q7976
Q2831,P1412,Q1860
Q2831,P264,Q216364
Q2831,P264,Q330629
Q2831,P264,Q38903
Q2831,P1303,Q17172850
Q2831,P1303,Q5994
Q2831,P1303,Q128309
Q2831,P1303,Q133163
Q2831,P20,Q65
Q2831,P509,Q12152
Q2831,P1196,Q149086
Q2831,P412,Q27914
Q2831,P6886,Q7976
Q2831,P6886,Q1860
Q2831,P101,Q11895763
Q2831,P6275,Q891885
Q2831,P1411,Q1027904
Q2831,P7763,Q73555012
Q371118,P27,Q30
Q371118,P641,Q41323
Q371118,P106,Q42331263
Q371118,P172,Q49085
Q3358292,P27,Q30
Q3358292,P1303,Q5994
Q3358292,P106,Q639669
Q80976,P166,Q10855226
Q80976,P166,Q2171187
Q80976,P166,Q4710826
Q80976,P166,Q976544
Q80976,P166,Q5361043
Q80976,P166,Q14539974
Q80976,P166,Q1331130
Q80976,P166,Q13377517
Q80976,P166,Q12192290
Q80976,P166,Q105339055
Q80976,P140,Q6423963
Q80976,P140,Q5043
Q80976,P607,Q362
Q80976,P410,Q5036649
Q80976,P1412,Q1860
Q80976,P1412,Q150
Q80976,P1412,Q188
Q80976,P463,Q123885
Q80976,P39,Q28841847
Q80976,P551,Q42182
Q80976,P551,Q42646
Q80976,P1343,Q67311526
Q80976,P1340,Q17122834
Q80976,P103,Q1860
Q80976,P6886,Q1860
Q80976,P26,Q9682
Q80976,P40,Q43274
Q80976,P40,Q153330
Q80976,P27,Q145
Q80976,P106,Q189290
Q80976,P106,Q2478141
Q80976,P945,Q145
Q80976,P361,Q645968
Q80976,P20,Q42646
Q80976,P1196,Q3739104
Q1429306,P22,Q1004037
Q1429306,P27,Q756617
Q1429306,P140,Q855585
Q1429306,P106,Q2478141
Q1429306,P1412,Q9035
Q1429306,P103,Q9035
Q1429306,P138,Q102139
Q1429306,P1340,Q17122834
Q241614,P27,Q30
Q241614,P106,Q4610556
Q241614,P106,Q18581305
Q241614,P1412,Q7976
Q241614,P1340,Q17122705
Q61693947,P106,Q33999
Q61693947,P106,Q177220
Q61693947,P106,Q578109
Q61693947,P27,Q30
Q61693947,P6553,L484
Q61693947,P1412,Q1860
Q61693947,P1412,Q1321
Q61693947,P103,Q1860
Q61693947,P6886,Q1860
Q61693947,P166,Q1011564
Q61693947,P101,Q222749
Q61693947,P101,Q638
Q34436,P69,Q1542213
Q34436,P106,Q10800557
Q34436,P106,Q177220
Q34436,P106,Q4610556
Q34436,P106,Q2259451
Q34436,P106,Q2405480
Q34436,P106,Q55960555
Q34436,P106,Q2526255
Q34436,P106,Q33999
Q34436,P27,Q30
Q34436,P19,Q11299
Q34436,P166,Q1131356
Q34436,P166,Q687123
Q34436,P166,Q17985761
Q34436,P166,Q604370
Q34436,P166,Q10294045
Q34436,P102,Q29552
Q34436,P552,Q789447
Q34436,P1303,Q17172850
Q34436,P136,Q37073
Q34436,P1343,Q67311526
Q34436,P1411,Q103618
Q34436,P1411,Q106301
Q34436,P140,Q9268
Q34436,P1412,Q7976
Q34436,P1412,Q1860
Q34436,P103,Q7976
Q9535,P106,Q947873
Q9535,P106,Q33999
Q9535,P106,Q28389
Q9535,P106,Q3282637
Q9535,P106,Q5716684
Q9535,P140,Q432
Q9535,P27,Q668
Q9535,P166,Q13452524
Q9535,P166,Q10855271
Q9535,P166,Q604370
Q9535,P1303,Q17172850
Q9535,P1343,Q67311526
Q9535,P39,Q19969187
Q113484942,P407,Q1860
Q103610353,P495,Q145
Q103610353,P364,Q1860
Q103610353,P136,Q9335577
Q103610353,P136,Q1366112
Q103610353,P437,Q723685
Q63630439,P136,Q157394
Q63630439,P136,Q157443
Q63630439,P136,Q52207399
Q63630439,P495,Q30
Q63630439,P495,Q96
Q63630439,P364,Q1860
Q63630439,P750,Q126399
Q63630439,P750,Q1097348
Q63630439,P750,Q65359104
Q63630439,P915,Q19835
Q63630439,P462,Q22006653
Q63630439,P437,Q47544021
Q63630439,P437,Q723685
Q63630439,P5021,Q4165246
Q100704907,P495,Q668
Q100704907,P136,Q188473
Q100704907,P136,Q2297927
Q100704907,P136,Q1054574
Q100704907,P136,Q2484376
Q100704907,P364,Q1568
Q100704907,P462,Q22006653
Q7817504,P106,Q245068
Q7817504,P106,Q947873
Q7817504,P106,Q578109
Q7817504,P27,Q145
Q7817504,P103,Q1860
Q7817504,P1412,Q1860
Q2462532,P27,Q30
Q283696,P161,Q172678
Q283696,P136,Q188473
Q283696,P136,Q319221
Q283696,P136,Q2297927
Q283696,P136,Q2484376
Q283696,P840,Q61
Q283696,P495,Q30
Q283696,P364,Q1860
Q283696,P915,Q99
Q283696,P915,Q65
Q283696,P462,Q22006653
Q283696,P750,Q186941
Q283696,P750,Q907311
Q283696,P437,Q723685
Q116233217,P17,Q30
Q111976143,P106,Q10800557
Q111976143,P1412,Q1860
Q123252214,P17,Q668
Q60809,P19,Q62
Q60809,P106,Q33231
Q60809,P106,Q486748
Q60809,P106,Q36180
Q60809,P106,Q1622272
Q60809,P106,Q3578589
Q60809,P27,Q30
Q60809,P166,Q17144
Q60809,P166,Q5020532
Q60809,P166,Q52382875
Q60809,P463,Q463303
Q60809,P1412,Q1860
Q60809,P1303,Q5994
Q60809,P6379,Q188740
Q60809,P6379,Q213322
Q60809,P1343,Q67311526
Q60809,P6275,Q71521142
Q60809,P7763,Q73555012
Q60809,P937,Q62
Q60809,P9493,Q98665879
Q66559788,P138,Q64
Q66559788,P1412,Q1321
Q66559788,P19,Q29
Q66559788,P1340,Q17244894
Q66559788,P27,Q29
Q12495,P17,Q878
Q146,P1343,Q602358
Q146,P1343,Q19180675
Q146,P1343,Q106727050
Q146,P1343,Q867541
Q146,P1343,Q19085957
Q10479,P53,Q81589
Q10479,P27,Q145
Q10479,P1343,Q17290934
Q10479,P106,Q43845
Q10479,P106,Q512314
Q10479,P106,Q12362622
Q10479,P106,Q2478141
Q10479,P1412,Q1860
Q10479,P551,Q207385
Q10479,P551,Q42646
Q10479,P103,Q7979
Q10479,P937,Q207385
Q10479,P361,Q645968
Q10479,P3716,Q11573099
Q10479,P6886,Q7979
Q10479,P1303,Q5994
Q356294,P106,Q33999
Q356294,P106,Q28389
Q356294,P106,Q10800557
Q356294,P106,Q4610556
Q356294,P106,Q10798782
Q356294,P27,Q145
Q356294,P1412,Q1860
Q356294,P1343,Q67311526
Q22080762,P17,Q30
Q22080762,P407,Q1860
Q22080762,P159,Q99
Q22080762,P452,Q4373046
Q22080762,P1056,Q185529
Q28835088,P27,Q30
Q43203,P106,Q3282637
Q43203,P106,Q10800557
Q43203,P106,Q2526255
Q43203,P106,Q3427922
Q43203,P106,Q36834
Q43203,P106,Q948329
Q43203,P106,Q28389
Q43203,P106,Q10798782
Q43203,P106,Q753110
Q43203,P106,Q1415090
Q43203,P106,Q177220
Q43203,P106,Q33999
Q43203,P106,Q3455803
Q43203,P166,Q13452531
Q43203,P166,Q1789030
Q43203,P166,Q103360
Q43203,P166,Q102427
Q43203,P166,Q1631998
